order_id,payment_type,payment_sequential,payment_value,payment_installments,installment_value,installment_value_capped,high_installment_flag,used_voucher
4186a838a13b7e0dfd69cc58cb89f012,credit_card,1,55.01,1,55.01,55.01,1,0
8eb24f96b8213d619ec9940e7f8d8ffd,boleto,1,69.69,1,69.69,69.69,0,0
f6d2ef1c523b008dac3d61be3e511a4f,credit_card,1,275.91,3,91.97,91.97,1,0
5e703e05bcb502963f75e2a2a2eb7b73,boleto,1,788.4,1,788.4,178.25,0,0
eb63192b23adf354552573b4ee157ee3,boleto,1,28.08,1,28.08,28.08,1,0
d7734a834b8c2b0138d57157af28e7f1,credit_card,1,42.07,1,42.07,42.07,1,0
a8b8b7289262a652bbc1c042766c97c8,credit_card,1,45.95,1,45.95,45.95,1,0
58f06353c6da67c88b4a4641cef385b0,boleto,1,55.78,1,55.78,55.78,1,0
e0fe96cb5635977938491ccfe7cd60f0,credit_card,1,72.43,4,18.11,18.11,1,0
dc7a419b3cd13b51c38ff9442dfd4009,credit_card,1,76.11,1,76.11,76.11,0,0
4b2626de72497770ddfa81a533f70c76,credit_card,1,20.75,1,20.75,20.75,1,0
d6cb7abec3164d194483906f3702748a,boleto,1,465.0,1,465.0,178.25,0,0
f8033eab5248939afe7fa7feb4ac4866,voucher,4,25.0,1,25.0,25.0,1,1
de98a626981e2086824e16ba939bf641,credit_card,1,238.69,8,29.84,29.84,1,0
75fb82fb938aeaf36ab0b8b670deb1d6,credit_card,1,163.25,3,54.42,54.42,1,0
8d05c02e45305ca61aaa097d40313382,credit_card,1,87.73,8,10.97,10.97,1,0
2e24f57cfbde9ac54cad13561f686405,credit_card,1,58.83,2,29.42,29.42,1,0
7fdefbf564eb66830407026a86005ce2,debit_card,1,248.71,1,248.71,178.25,0,0
5bd04e944fbdeb94cb04e86654501cfb,boleto,1,117.04,1,117.04,117.04,0,0
cc79900e669a12933cc02b37c489fe00,credit_card,1,97.43,1,97.43,97.43,0,0
cb71bd92e29c501f67b650fa19bee739,credit_card,1,178.08,4,44.52,44.52,1,0
ad6ee9479111c0c9b69de241c98009df,credit_card,1,40.87,2,20.44,20.44,1,0
8b761bca5ade41b47694b0225c668b75,credit_card,1,92.57,2,46.29,46.29,1,0
d4a16ee6be0a801a99aa5746b2eb169a,credit_card,1,33.0,1,33.0,33.0,1,0
29c8471e22b812817dc9d933a3690694,credit_card,1,207.57,2,103.79,103.79,0,0
e61f21c687d3607657f3799b5e182916,credit_card,1,34.1,1,34.1,34.1,1,0
0e439875ab5824a65c5c2402b6302f3f,credit_card,1,335.32,5,67.06,67.06,1,0
436b06a1d206f46ff8bcf05997df34e0,credit_card,1,29.01,1,29.01,29.01,1,0
6d234dea658ce0c00f91e931cb11f93c,boleto,1,64.46,1,64.46,64.46,1,0
60f6e33dc906f7b5b4f5096f979ab9f6,credit_card,1,46.52,1,46.52,46.52,1,0
7e225c7be8d238e6c940f116d7583a13,credit_card,1,313.36,3,104.45,104.45,1,0
40b3a621a59f804d691abcd7531fffee,boleto,1,149.14,1,149.14,149.14,0,0
68f4e47ec61d740cefae31e2f624932b,credit_card,1,76.61,5,15.32,15.32,1,0
623ad958e8a30b32e7b64d28aac09059,credit_card,1,388.74,7,55.53,55.53,1,0
9b3430b6fdf31ecd9d2ddea5dd58aab4,credit_card,1,133.56,1,133.56,133.56,0,0
7b9f5e24a87d548effb470329e3705ea,boleto,1,87.71,1,87.71,87.71,0,0
c052b5075e9fd0d83a3d2b183e6e0df1,credit_card,1,73.72,3,24.57,24.57,1,0
9e610f1799387c81ebe3841937df9098,credit_card,1,77.79,3,25.93,25.93,1,0
65fafe7de184fc57f3b77381cf6dc573,credit_card,1,153.1,1,153.1,153.1,0,0
cb1f639d88a5c4d9049c6c61d563f5b8,credit_card,1,275.63,10,27.56,27.56,1,0
4a778bf83b14e5f0f74e35bf9dea4a7c,voucher,2,17.77,1,17.77,17.77,1,1
357769c200aa5a3a9b859db2f47b9b65,credit_card,1,106.69,1,106.69,106.69,0,0
7caf84295d8749bcee4f14503b883c1e,credit_card,1,127.08,3,42.36,42.36,1,0
31ba66f58ba311071bb8cc50383ada02,debit_card,1,107.96,1,107.96,107.96,0,0
747f604b7af55628b51cec5d2d80c779,credit_card,1,60.09,5,12.02,12.02,1,0
f4253eb9f34c40695de3f9f8e59d2875,credit_card,1,56.78,3,18.93,18.93,1,0
292763c479eed9e980ac01583f89db93,credit_card,1,19.39,1,19.39,19.39,1,0
598e0b2b828aee119bc59b9fdb2fc1c0,credit_card,1,79.99,2,40.0,40.0,1,0
f29b1fdd44f820a916d3f1946a88c333,credit_card,1,126.44,1,126.44,126.44,0,0
326e63b8d39ccc6ed4d6090784876a40,credit_card,1,44.09,2,22.05,22.05,1,0
62977d4590bfc4beeeada22ce07ae17b,credit_card,1,206.18,5,41.24,41.24,1,0
5f93e72cdaf53d21746077af4b48e790,credit_card,1,117.58,1,117.58,117.58,0,0
47a330feeb29dca83fc390cddd62c280,credit_card,1,36.69,1,36.69,36.69,1,0
4c46ed4ad9c8faf7543b2f9f6598b607,credit_card,1,71.04,1,71.04,71.04,0,0
fe581625610266b13ec764bd58c6e280,boleto,1,28.41,1,28.41,28.41,1,0
e5da6b075bf12389011f8a4ce3c1d1de,credit_card,1,64.46,1,64.46,64.46,1,0
d22be2a4da2ca6e4cf8f164d63f5be02,credit_card,1,90.88,1,90.88,90.88,0,0
63020d26ebaf7d3f0b7b2a79b9f76124,credit_card,1,41.75,2,20.88,20.88,1,0
378895a1dc15cc571051e1b1c2e0c27d,credit_card,1,343.12,7,49.02,49.02,1,0
250dcc4b34da378ac9a5f3fac0a67726,credit_card,1,41.78,4,10.45,10.45,1,0
0b8e8a083ebc7823271b2618f31eb1bd,credit_card,1,50.15,1,50.15,50.15,1,0
fa4c0ad484374bf0485f99f6a57255a5,credit_card,1,125.52,4,31.38,31.38,1,0
6bc458836ecef86dca3afa67523f4268,credit_card,1,114.22,4,28.56,28.56,1,0
96284b020ae337bbc78a10ed82d5d24d,credit_card,1,369.6,6,61.6,61.6,1,0
2d2ce74a9a75fd5144160b74f0d536cc,credit_card,1,288.68,3,96.23,96.23,1,0
46dab7df33775120f347d8f350190e06,credit_card,1,117.96,3,39.32,39.32,1,0
079ade008533bd5cb246826aceace87d,boleto,1,48.72,1,48.72,48.72,1,0
a7c6365fed8c291cfac8b74f173b7a4f,boleto,1,52.3,1,52.3,52.3,1,0
407cc9b2c7575dbff71cb23b6cc26814,credit_card,1,40.41,4,10.1,10.1,1,0
9ad25d16fe851c6e868769cec5d2882e,boleto,1,232.71,1,232.71,178.25,0,0
49ff8304edbadc5f8fa18d2cd94315d2,credit_card,1,80.15,4,20.04,20.04,1,0
61f50b9484c359645b77ea7a6ffdd946,boleto,1,47.61,1,47.61,47.61,1,0
2c484d3ab813a339e8c4e18175dcb144,credit_card,1,130.69,2,65.35,65.35,1,0
324cc372a5790222f0717f50a6816df1,credit_card,1,86.8,8,10.85,10.85,1,0
f49d6ccb4f36a6204ff06cab948d268d,credit_card,1,144.76,2,72.38,72.38,0,0
286dbc475e52044b50f115b01621cd64,credit_card,1,56.2,1,56.2,56.2,1,0
68126438e25973e9d716ab0e2485ae05,boleto,1,28.79,1,28.79,28.79,1,0
f86e20fe6ce750c00d7ed08e8c67384f,credit_card,1,29.0,2,14.5,14.5,1,0
f736c451b8bfbfbbf8164a476b28bf98,credit_card,1,140.91,10,14.09,14.09,1,0
85cecbd067fc6feb989de87d22126955,credit_card,1,139.06,4,34.77,34.77,1,0
76df43658d302b7e5418f9c5b366b4bd,credit_card,1,304.67,10,30.47,30.47,1,0
036d29511908c7b10872e1e72fd0681b,credit_card,1,159.46,5,31.89,31.89,1,0
67d51f83fcd035393f57e00d584498fa,credit_card,1,567.34,1,567.34,178.25,0,0
dff8b1ccb6e61a785f9fad1cd48df4af,credit_card,1,163.53,5,32.71,32.71,1,0
610e831f41e8e6fe3214b767f41a17d5,credit_card,1,2.41,1,2.41,2.41,1,0
074054ad3d2e5ee3fc6f098d06f321f9,credit_card,1,110.09,8,13.76,13.76,1,0
955cfc6fc88baf05abb8692e1285a9d2,credit_card,1,76.08,2,38.04,38.04,1,0
268611f7d2f0106b616e88e532e05a2b,credit_card,1,62.69,6,10.45,10.45,1,0
df1673f73c6ab875ce62808a1e5e460b,voucher,1,38.3,1,38.3,38.3,1,1
cfea8d218fdcd01ec074136ce618bda9,credit_card,1,90.63,1,90.63,90.63,0,0
d82845f8b7ebd4d9b7ebae995e0ff08b,credit_card,1,486.02,10,48.6,48.6,1,0
fa65dad1b0e818e3ccc5cb0e39231352,voucher,24,0.42,1,0.42,0.42,1,1
b97647adcfc90ff1abe8f427d87a02ce,credit_card,1,156.19,3,52.06,52.06,1,0
8f7ebe126fc801255111469be7ff27a7,credit_card,1,168.2,10,16.82,16.82,1,0
ea9184ad433a404df1d72fa0a8764232,voucher,5,22.47,1,22.47,22.47,1,1
68329ea019781f360d7d04e9edd2825d,credit_card,1,35.0,3,11.67,11.67,1,0
f298d9cc0b7aea1a3bdf95d298c3cfc3,credit_card,1,68.97,1,68.97,68.97,0,0
ccfe85ff3893b9efe8d101891fdd40ee,credit_card,1,159.1,5,31.82,31.82,1,0
8a004a62306c4b5b0a7618f51158404e,credit_card,1,215.3,1,215.3,178.25,0,0
d2d05762a4554c9d93f8f26540eae8ad,boleto,1,603.56,1,603.56,178.25,0,0
f472c6c9045f35a40845e71c997dcc74,credit_card,1,148.14,2,74.07,74.07,0,0
3ffd3e41fbb901f25a82fa96e9460a0f,voucher,1,44.42,1,44.42,44.42,1,1
febc913d8a07693e87fe06bdd4afb232,credit_card,1,158.22,7,22.6,22.6,1,0
14455f1aaa833508297244b62e751d46,credit_card,1,187.35,5,37.47,37.47,1,0
7a3bdd1ce4ff0098b32fe17565739815,credit_card,1,73.22,1,73.22,73.22,0,0
f3a47ba087f05d39a74ed1b653f0be1b,credit_card,1,134.55,2,67.28,67.28,0,0
0ef7129ab98149bcbd4aadde9ba093d9,boleto,1,32.79,1,32.79,32.79,1,0
5e526b01963709e583bfc89cac4d9f2a,boleto,1,139.38,1,139.38,139.38,0,0
393123cf50678c8c2e0921146719d7a9,credit_card,1,77.96,3,25.99,25.99,1,0
01ae5e4c5d2549f7c05000a2f5856c28,credit_card,1,55.6,1,55.6,55.6,1,0
0e92646f0fb7e56168e677965e18c1f4,boleto,1,76.36,1,76.36,76.36,0,0
50af5eb21dfe120d3a7950feee50d90d,credit_card,1,24.22,1,24.22,24.22,1,0
2fe14af1d4563c0e76f382bc63c9a245,credit_card,1,88.72,2,44.36,44.36,1,0
c137d955d66546c460453c13ce560ad4,credit_card,1,124.15,1,124.15,124.15,0,0
1295db8c216f7ff7a2c02a66b4cb5d5e,credit_card,1,443.85,6,73.98,73.98,1,0
7c67a9f94c58c5b1c1a40953151fbccd,credit_card,1,35.24,1,35.24,35.24,1,0
3a46c264be2fad6d10c5a7362d8cc2ff,credit_card,1,188.69,3,62.9,62.9,1,0
a8017b769d03b3474d5869b0dacf5f7a,voucher,1,114.44,1,114.44,114.44,0,1
c90fb992daf8f63f00c1f7819f0897ab,boleto,1,214.32,1,214.32,178.25,0,0
68b4e818c05f12bec3a76417829c2846,boleto,1,157.78,1,157.78,157.78,0,0
57c8b21903ac8ad8de52488bbb4ada7b,credit_card,1,117.85,1,117.85,117.85,0,0
7a281ea07cea9f99a15e8f67d6e982bd,credit_card,1,236.36,8,29.55,29.55,1,0
14ddbde8a800125503870bcad59d2851,boleto,1,199.24,1,199.24,178.25,0,0
3f330c606a285a5bd1cf10b860dd6302,credit_card,1,647.54,8,80.94,80.94,1,0
0f3d9a2f9aad2a8e778efe652994aced,credit_card,1,66.29,3,22.1,22.1,1,0
1b2b354adeb38c1c308c915faf7d3288,credit_card,1,1137.11,1,1137.11,178.25,0,0
5a583547086c7958be6668ef932708cd,credit_card,1,66.25,2,33.13,33.13,1,0
30e92c30b450ba0009e6664e0d8210dd,credit_card,1,49.01,4,12.25,12.25,1,0
9a0b2a68507680a6e151319e4b6e68f7,credit_card,1,891.86,6,148.64,148.64,1,0
3fb4d82a992d06f85994158787a76ff0,boleto,1,40.69,1,40.69,40.69,1,0
b3ac86bf741341789a0603dc5f8b0ecd,credit_card,1,404.72,15,26.98,26.98,1,0
20fb36f0bfaf10e2d33e99f55369f927,boleto,1,118.88,1,118.88,118.88,0,0
45e00abea326ffad82887cb48faf12b9,credit_card,1,107.78,8,13.47,13.47,1,0
cebfb93d43892425be3fe47edbb54347,credit_card,1,237.94,4,59.49,59.49,1,0
e1746b01c76d5be983999db3fcd428da,credit_card,1,25.03,1,25.03,25.03,1,0
0fd408210166f23fe823070a2f690048,credit_card,1,135.66,1,135.66,135.66,0,0
ae430928e30cb683e5b0bd55a74bcc69,credit_card,1,57.69,1,57.69,57.69,1,0
5ca6e3104943fbdece60227010cfd979,credit_card,1,215.38,8,26.92,26.92,1,0
ef24051d70c42220346c1e8d253502ee,credit_card,1,75.68,3,25.23,25.23,1,0
de600694e63dc521b56a7fc6f01576d7,boleto,1,89.91,1,89.91,89.91,0,0
2f7629415fce83aab452e69eda981a49,credit_card,1,55.96,1,55.96,55.96,1,0
d40dd8018a5302969efb31bd21744cab,credit_card,1,49.12,4,12.28,12.28,1,0
73fc8294883c8974e9f856499979579b,credit_card,1,130.89,5,26.18,26.18,1,0
80b0d3793468761fc92ec09064ef6223,credit_card,1,155.63,5,31.13,31.13,1,0
c5f9505b4bf9db0433b371002f7be6ff,credit_card,1,262.7,5,52.54,52.54,1,0
5720bc11a86749d980e65cac6e3ff08f,credit_card,2,150.0,1,150.0,150.0,0,0
bbc0dd90484124e1dcc1d2428ad924ff,credit_card,1,183.95,5,36.79,36.79,1,0
44112fd5bb8ad2e4ce496e28c8c4258e,credit_card,1,175.08,2,87.54,87.54,0,0
981c757205df6c89af28906c96860c18,boleto,1,33.0,1,33.0,33.0,1,0
fc2b731f9c539d7f27f5e598f9c14e59,boleto,1,839.49,1,839.49,178.25,0,0
349b3940d239cbc995c0664d87629d93,boleto,1,137.36,1,137.36,137.36,0,0
4b73f2ad2d258e45ad46b02fa9125f74,credit_card,1,87.32,8,10.92,10.92,1,0
192e9f15d78654ec141918deca721334,credit_card,1,325.95,1,325.95,178.25,0,0
1bd14d9418bc4bd605521c1afad99926,credit_card,1,99.65,2,49.83,49.83,1,0
a43b47899fae27435d67c19684c2a5d3,voucher,2,100.0,1,100.0,100.0,0,1
70f68b39d2f381634322a952699f55d1,credit_card,1,29.09,1,29.09,29.09,1,0
2f783e7dd705688d34e7d8b9e5a3e33a,credit_card,1,29.77,2,14.89,14.89,1,0
1f3e98938afd17558e267ed6afda4c95,voucher,1,327.47,1,327.47,178.25,0,1
10016b700b98966403aafded9f2e168d,credit_card,1,10.28,1,10.28,10.28,1,0
95f621764d58ab2736abbffb39a183da,credit_card,1,140.23,1,140.23,140.23,0,0
2e8b2390e7734d4477db1b7e1fdc38d7,credit_card,1,132.27,5,26.45,26.45,1,0
64bbe3a7dae1ea0dae5ac315fe779596,boleto,1,90.88,1,90.88,90.88,0,0
0f63c3a2e4c3e3ba27c7452c1f83621c,boleto,1,249.2,1,249.2,178.25,0,0
f6ed6898419c893a57cd88e7dbbdb2c7,credit_card,1,162.26,1,162.26,162.26,0,0
a4d3d2773b4016fd346ced87e513885e,credit_card,1,310.28,3,103.43,103.43,1,0
4858e8163239ecb307ebe97863cc948b,credit_card,1,96.59,4,24.15,24.15,1,0
f82a3c6e1e4ad29964e50eb40ba50ea8,boleto,1,166.81,1,166.81,166.81,0,0
d177b7c08ed2934d5888e7fd236d42e1,credit_card,1,31.77,1,31.77,31.77,1,0
fb5ae559d53a2c9ad1f34f3b98085457,credit_card,1,59.04,1,59.04,59.04,1,0
7428195653ad7e05d37c801977ea152b,credit_card,1,179.76,3,59.92,59.92,1,0
3298e7053c95993e6eb284ef3d254b49,credit_card,1,97.69,7,13.96,13.96,1,0
f4b91a4e2130d850b29e9a6cf4fd9eed,credit_card,1,64.62,4,16.16,16.16,1,0
a9dfd8a8ec4fa0a848fb61986bdc153f,credit_card,1,153.52,3,51.17,51.17,1,0
d3a2d71aecfd58b0ddd6b9d7b56ed55d,credit_card,1,101.71,3,33.9,33.9,1,0
99c254ee6e59f7fa7bfa6675933cbc04,voucher,2,108.33,1,108.33,108.33,0,1
b02f2888891cd431e71f2f0a9a85e7b8,boleto,1,104.44,1,104.44,104.44,0,0
9a3deccd2b0279aa76825542a6146030,boleto,1,142.43,1,142.43,142.43,0,0
5eff641a591dc86709424d65585467a5,credit_card,1,44.98,4,11.25,11.25,1,0
a82c960297e876b31d23af8b437f54bb,boleto,1,136.61,1,136.61,136.61,0,0
938c8cbe289e7aa04f8eb3221cf19574,voucher,1,44.42,1,44.42,44.42,1,1
5a0e5ad33542c79b10be87a344ee0086,boleto,1,86.67,1,86.67,86.67,0,0
4b32a4cdfc1b80066a8ee3a4b7a2094f,credit_card,1,173.85,7,24.84,24.84,1,0
d3d3517767529dd0eb9e27a460be3497,boleto,1,134.94,1,134.94,134.94,0,0
3f4f6a378519479cb0afe338427c6713,voucher,1,4.04,1,4.04,4.04,1,1
ce6d6c97c681b91f6a645bf24c8da7ff,credit_card,1,169.0,2,84.5,84.5,0,0
d44d3aabe5fd82754ca3b4696cdc90e7,credit_card,1,300.0,8,37.5,37.5,1,0
bfc2b97037cfb3d63579f4a3f877a912,credit_card,1,1415.66,8,176.96,176.96,1,0
3bce97659e11778172e62ac0b440cb6c,credit_card,1,139.93,4,34.98,34.98,1,0
41944cf624269caf43e02d939e33e8bb,boleto,1,52.22,1,52.22,52.22,1,0
74b1932a11b0d28d122ee5572b5ea7d1,credit_card,1,83.61,2,41.81,41.81,1,0
82f66e51ca6c291960fa27c3308f25e9,boleto,1,96.32,1,96.32,96.32,0,0
66ec1ee812f8f435480e7b0e2e54ebb6,credit_card,1,51.14,5,10.23,10.23,1,0
9a84ad63a942918f330f5009401daed0,credit_card,1,89.17,8,11.15,11.15,1,0
e571dfc21abcbe1ae8795d4a8a6b057a,credit_card,1,15.0,1,15.0,15.0,1,0
e90f4f7e0953d4031b08ade067de9e67,credit_card,1,142.48,1,142.48,142.48,0,0
41d6a7b15ec6c87722ac10f480c1d5e3,credit_card,1,70.34,1,70.34,70.34,0,0
a890088df39d4c062a07081527034784,credit_card,1,125.16,2,62.58,62.58,1,0
c840f3fb3a4c4c7bc42c8167e355e3eb,credit_card,1,81.89,3,27.3,27.3,1,0
27305b6f34b0b06a5323934d520c62b4,credit_card,1,31.69,3,10.56,10.56,1,0
ed0e059201c86672e445d3338bfabc13,credit_card,1,270.19,8,33.77,33.77,1,0
1ca74ef1a063b31008ef4af64cdaa485,credit_card,1,287.27,10,28.73,28.73,1,0
26f1a21b851baef4f3bb1ea83c9ba962,credit_card,1,48.13,1,48.13,48.13,1,0
fc8121263d345c1d739f85edda7be0cb,credit_card,1,130.0,10,13.0,13.0,1,0
92c427aafb62360f8e6eeb77f851b7a7,credit_card,1,119.57,1,119.57,119.57,0,0
bdff7ea7134364dda401ab2e8ded48f0,credit_card,1,788.23,1,788.23,178.25,0,0
49fde3867303e9ee8b2b2fb6c657636e,credit_card,1,65.0,6,10.83,10.83,1,0
ac88d96f79bb0884df747b9c38fe48f7,credit_card,1,91.47,9,10.16,10.16,1,0
29964b4c50c938f079b2c345c7ea0eea,boleto,1,136.6,1,136.6,136.6,0,0
ca6bd54a877cb432b4fb96afe8f6edff,debit_card,1,87.51,1,87.51,87.51,0,0
645178e45ffc3660a32e6532187b4376,credit_card,1,186.45,3,62.15,62.15,1,0
a850819097762e4dd825ae3d911f5861,credit_card,1,44.13,1,44.13,44.13,1,0
f7bb368f14fba32a23fbbf157d57796c,credit_card,1,57.12,1,57.12,57.12,1,0
13560ce213996d123d92f607e1ed93c7,credit_card,1,99.9,4,24.98,24.98,1,0
8efb790e87787df85c5be5757d1432c0,boleto,1,52.29,1,52.29,52.29,1,0
38291bcab22211eb312fd02756c288c1,credit_card,1,135.08,3,45.03,45.03,1,0
e6fc4ea08434b40ac98a0cb284e5a8eb,credit_card,1,43.98,2,21.99,21.99,1,0
d30d0c9c3a766ca0d558a205d4579320,credit_card,1,163.38,1,163.38,163.38,0,0
66aba14bb9ae52201797bedad4b91d5c,boleto,1,46.15,1,46.15,46.15,1,0
cc8607fdeb822bbb13aadae04f3bb7aa,credit_card,1,191.67,10,19.17,19.17,1,0
0015ebb40fb17286bea51d4607c4733c,credit_card,1,37.0,1,37.0,37.0,1,0
ed14a836c4b4a6f1a8c140c79ad86642,credit_card,1,311.49,6,51.92,51.92,1,0
94eb877f9f8fc251fafee5cd18ccbfa2,credit_card,1,53.79,2,26.9,26.9,1,0
f879bf0e0b59e1dba249de988e36d3f5,credit_card,1,103.14,8,12.89,12.89,1,0
d5b7a3030feb818d49d955a32425d329,credit_card,1,106.0,3,35.33,35.33,1,0
c8b69047cbbe06592f979f7a1ca08df2,credit_card,1,79.33,3,26.44,26.44,1,0
68ffe75ea06c7f7bfe38362dbcc2ba6e,credit_card,1,244.62,2,122.31,122.31,0,0
7c018c94d1f3d9ac7affec4cde6e111f,boleto,1,161.23,1,161.23,161.23,0,0
cd2e2ff68721cedbf8b5887479475a81,credit_card,1,374.58,5,74.92,74.92,1,0
4027aaf151a408af313fee7a5af64c5a,credit_card,1,50.0,1,50.0,50.0,1,0
fa902363ff995f79f7ae0694ec0e2aaf,boleto,1,25.72,1,25.72,25.72,1,0
6c9e0983a488b321d5a291da9b9efc5a,credit_card,1,90.66,1,90.66,90.66,0,0
6fe4c985918734d29a35419f12b76570,credit_card,1,65.11,6,10.85,10.85,1,0
269851ddbe5679a1fef1e568b2518cf7,boleto,1,104.85,1,104.85,104.85,0,0
8a2c407ae60a30f282158e16de83fc2c,credit_card,1,114.77,2,57.39,57.39,1,0
f1f8ad6699e72bbab0ca848700236de8,boleto,1,50.35,1,50.35,50.35,1,0
1d893dd7ca5f77ebf5f59f0d2017eee0,credit_card,1,355.2,5,71.04,71.04,1,0
54e78383150f4a775184e7e32ea6ce09,credit_card,1,135.49,5,27.1,27.1,1,0
25877da244143a5dd6a686b8090c98e1,credit_card,1,161.17,2,80.59,80.59,0,0
2739ecbc7e87995e0d2efb6f603f6c2c,credit_card,1,19.41,1,19.41,19.41,1,0
5c9730fc4a417f9c52b34577a35157bd,credit_card,1,104.28,3,34.76,34.76,1,0
